-,-,-,По плану,,-,Изучено и зачтено,,-,-,-
,,,,,,-,,,,
Индекс,Наименование,Семестр,з.е.,Часов,Зачет результатов обучения,з.е.,Часов,Форма контроля,Тип перезачета,Оценка
Б1.В.ДЭ.01.02,Элективные дисциплины (модули) по физической культуре и спорту (настольный теннис),1,,54,Перезачтено(полностью),,54,Зачет,Перезачтено,Зачет
,,2,,54,Перезачтено(полностью),,54,Зачет,Перезачтено,Зачет
,,3,,54,,,,Зачет,,
,,4,,54,,,,Зачет,,
,,5,,56,,,,Зачет,,
,,6,,56,,,,Зачет,,
Б1.В.ДЭ.02.01,Нейромаркетинг,4,3,108,,,,Зачет,,
Б1.В.ДЭ.02.02,Интернет-технологии и веб-дизайн,4,3,108,,,,Зачет,,
Б1.В.ДЭ.03.01,Контент маркетинг,6,3,108,,,,Зачет,,
Б1.В.ДЭ.03.02,Маркетинг в мобильных приложениях,6,3,108,,,,Зачет,,
Б1.В.ДЭ.04.01,Контекстуальные исследования,6,2,72,,,,Зачет,,
Б1.В.ДЭ.04.02,Стартап как диплом,6,2,72,,,,Зачет,,
Б2.О.01.01(У),Профессионально-ознакомительная практика,3,3,108,,,,Зачет,,
,,4,3,108,,,,Зачет,,
Б2.О.01.02(У),Профессионально-ознакомительная (междисциплинарная) практика,3,3,108,,,,Зачет,,
Б2.В.01.01(П),Профессионально-творческая практика,6,6,216,,,,Зачет с оценкой,,
Б2.В.01.02(П),Преддипломная практика,8,9,324,,,,Зачет,,
Б3.01,Подготовка к сдаче и сдача итогового экзамена по направлению подготовки,8,3,108,,,,,,
Б3.02,Подготовка к процедуре защиты и защита выпускной квалификационной работы,8,6,216,,,,,,
ФТД.01,Этика в маркетинге,3,2,72,,,,Зачет,,
ФТД.02,Трансформация бизнеса,4,2,72,,,,Зачет,,
ФТД.03,Визуальный мерчендайзинг,5,2,72,,,,Зачет,,
ФТД.04,SMM маркетинг,6,2,72,,,,Зачет,,
ФТД.05,Fashion маркетинг,7,2,72,,,,Зачет,,
ФТД.06,Факультатив стартап как диплом,7,1,36,,,,Зачет,,
,,8,1,36,,,,Зачет,,
, Итого з.е./акад.часов (без факультативов),,240,8968,,56,2124,", в том числе контактных часов",,
